rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00236,06,2008,2008,-0.005656018853187561,-0.09224060922861099
RGI60-06.00236,06,2009,2009,-0.08762739598751068,-1.4297707080841064
RGI60-06.00236,06,2010,2010,-0.01791282370686531,-0.29230228066444397
RGI60-06.00236,06,2011,2011,-0.13469064235687256,-2.200144052505493
RGI60-06.00236,06,2012,2012,0.040987785905599594,0.6693354845046997
RGI60-06.00236,06,2013,2013,0.0029737616423517466,0.04856512323021889
RGI60-06.00236,06,2014,2014,0.009229565970599651,0.15069738030433655
RGI60-06.00236,06,2015,2015,-0.07893680036067963,-1.2896928787231445
RGI60-06.00236,06,2016,2016,0.01869191601872444,0.3053484559059143
RGI60-06.00236,06,2017,2017,-0.08758650720119476,-1.4317489862442017
RGI60-06.00236,06,2018,2018,-0.06886313110589981,-1.1262524127960205
RGI60-06.00236,06,2019,2019,-0.008687452413141727,-0.1421026587486267
RGI60-06.00236,06,2020,2020,-0.10121799260377884,-1.6568491458892822
RGI60-06.00236,06,2021,2021,-0.11607945710420609,-1.9017606973648071
RGI60-06.00236,06,2022,2022,-0.16540132462978363,-2.7132110595703125
RGI60-06.00236,06,2023,2023,-0.09181016683578491,-1.5071160793304443
RGI60-06.00236,06,2024,2024,-0.09480594843626022,-1.5574530363082886
RGI60-06.00236,06,2025,2025,-0.05773564428091049,-0.948910117149353
RGI60-06.00236,06,2026,2026,-0.0057105449959635735,-0.09387245774269104
RGI60-06.00236,06,2027,2027,-0.07558974623680115,-1.2431724071502686
RGI60-06.00236,06,2028,2028,-0.07291797548532486,-1.1999467611312866
RGI60-06.00236,06,2029,2029,-0.06957197189331055,-1.1455119848251343
RGI60-06.00236,06,2030,2030,-0.10194360464811325,-1.689056396484375
RGI60-06.00236,06,2031,2031,-0.1585467904806137,-2.6300370693206787
RGI60-06.00236,06,2032,2032,-0.15053775906562805,-2.500023365020752
RGI60-06.00236,06,2033,2033,-0.11387850344181061,-1.8928654193878174
RGI60-06.00236,06,2034,2034,-0.06380061060190201,-1.0610215663909912
RGI60-06.00236,06,2035,2035,-0.06512390822172165,-1.0835587978363037
RGI60-06.00236,06,2036,2036,-0.07038356363773346,-1.171717643737793
RGI60-06.00236,06,2037,2037,-0.07384281605482101,-1.2300361394882202
RGI60-06.00236,06,2038,2038,-0.11550379544496536,-1.9257289171218872
RGI60-06.00236,06,2039,2039,-0.07416682690382004,-1.2372608184814453
RGI60-06.00236,06,2040,2040,-0.16737684607505798,-2.7957863807678223
RGI60-06.00236,06,2041,2041,-0.18548575043678284,-3.1026723384857178
RGI60-06.00236,06,2042,2042,-0.14311489462852478,-2.3966195583343506
RGI60-06.00236,06,2043,2043,-0.12757080793380737,-2.1384456157684326
RGI60-06.00236,06,2044,2044,-0.1732027381658554,-2.9072952270507812
RGI60-06.00236,06,2045,2045,-0.1422770768404007,-2.4105496406555176
RGI60-06.00236,06,2046,2046,-0.2015918791294098,-3.420811891555786
