G042009E43178N,RGI60-12.00557
G041175E43291N,RGI60-12.00558
G042735E43143N,RGI60-12.00559
G043501E42899N,RGI60-12.00560
G043590E42938N,RGI60-12.00561
G041866E42992N,RGI60-12.00562
G041828E43157N,RGI60-12.00563
G042953E43152N,RGI60-12.00564
G042150E43181N,RGI60-12.00568
G042105E43092N,RGI60-12.00569
G041869E43367N,RGI60-12.00570
G043095E43151N,RGI60-12.01186
G042913E43087N,RGI60-12.00572
G041722E43221N,RGI60-12.00573
G041322E43358N,RGI60-12.00574
G042110E43307N,RGI60-12.00575
G042972E43169N,RGI60-12.00576
G042204E43234N,RGI60-12.00578
G041721E43229N,RGI60-12.00579
G041876E43263N,RGI60-12.00580
G041909E43264N,RGI60-12.00582
G042962E43055N,RGI60-12.00937
G044297E42739N,RGI60-12.00584
G041595E43230N,RGI60-12.00586
G041941E43217N,RGI60-12.00587
G041269E43428N,RGI60-12.00588
G042636E42920N,RGI60-12.00589
G042576E43340N,RGI60-12.00590
G043476E42880N,RGI60-12.00591
G042797E43103N,RGI60-12.00592
G042565E42925N,RGI60-12.00593
G042280E43217N,RGI60-12.00594
G043212E43088N,RGI60-12.00595
G041884E43301N,RGI60-12.00596
G042253E43224N,RGI60-12.01128
G042095E43245N,RGI60-12.00598
G041871E43308N,RGI60-12.00599
G041376E43369N,RGI60-12.00601
G042862E43205N,RGI60-12.00602
G043395E43025N,RGI60-12.00603
G043283E43066N,RGI60-12.00604
G041504E43266N,RGI60-12.00605
G042406E43319N,RGI60-12.00606
G042587E43178N,RGI60-12.00607
G043395E42903N,RGI60-12.00705
G042075E43107N,RGI60-12.00609
G043748E42782N,RGI60-12.00611
G042640E43327N,RGI60-12.00612
G042908E43220N,RGI60-12.00613
G044136E42699N,RGI60-12.00615
G043209E42969N,RGI60-12.00616
G043179E42943N,RGI60-12.00617
G041842E43319N,RGI60-12.00618
G041440E43355N,RGI60-12.00619
G041242E43409N,RGI60-12.00620
G042431E43219N,RGI60-12.00621
G042895E43113N,RGI60-12.00727
G042320E43145N,RGI60-12.00624
G042323E43136N,RGI60-12.00625
G042051E43264N,RGI60-12.00626
G042443E43226N,RGI60-12.00628
G042591E42914N,RGI60-12.00630
G042846E43214N,RGI60-12.00811
G042769E43214N,RGI60-12.00632
G043193E42928N,RGI60-12.00633
G042227E43267N,RGI60-12.00634
G041959E43260N,RGI60-12.00635
G042509E42932N,RGI60-12.01069
G042534E43202N,RGI60-12.01026
G041107E43428N,RGI60-12.00640
G043430E42958N,RGI60-12.00642
G043680E42785N,RGI60-12.00643
G042946E43295N,RGI60-12.00897
G042468E43152N,RGI60-12.00809
G042653E43326N,RGI60-12.00646
G042748E43229N,RGI60-12.00647
G041977E43266N,RGI60-12.00648
G042709E42892N,RGI60-12.00649
G041834E43338N,RGI60-12.00650
G043585E42957N,RGI60-12.00651
G043746E42854N,RGI60-12.00652
G042928E43118N,RGI60-12.00742
G041822E43382N,RGI60-12.00654
G043000E43071N,RGI60-12.00656
G041816E43168N,RGI60-12.00657
G042849E43116N,RGI60-12.00658
G044248E42596N,RGI60-12.00659
G042877E43240N,RGI60-12.00660
G041315E43363N,RGI60-12.00661
G042169E43233N,RGI60-12.00662
G042621E42918N,RGI60-12.00663
G042851E43135N,RGI60-12.00664
G043541E42861N,RGI60-12.00665
G042838E43120N,RGI60-12.00669
G044428E42697N,RGI60-12.00667
G042919E43089N,RGI60-12.00668
G043551E42859N,RGI60-12.00670
G042405E43364N,RGI60-12.00671
G041865E43264N,RGI60-12.00672
G042419E43214N,RGI60-12.00673
G044410E42698N,RGI60-12.00674
G042452E43142N,RGI60-12.00675
G042928E43255N,RGI60-12.00677
G042988E43166N,RGI60-12.01203
G043933E42559N,RGI60-12.00680
G042526E43157N,RGI60-12.00681
G041883E43258N,RGI60-12.00684
G042029E43215N,RGI60-12.00685
G042530E43155N,RGI60-12.00687
G042522E43297N,RGI60-12.00689
G042403E43197N,RGI60-12.00690
G042900E43151N,RGI60-12.00692
G042295E43098N,RGI60-12.00693
G041100E43430N,RGI60-12.00694
G042096E43111N,RGI60-12.00695
G042564E42906N,RGI60-12.00697
G042646E42920N,RGI60-12.01219
G043238E43064N,RGI60-12.00699
G042216E43261N,RGI60-12.00701
G042196E43213N,RGI60-12.00702
G042816E43093N,RGI60-12.00703
G041963E43204N,RGI60-12.00706
G041566E43380N,RGI60-12.00707
G042935E43089N,RGI60-12.00708
G042824E43089N,RGI60-12.00710
G043405E43022N,RGI60-12.00711
G041436E43360N,RGI60-12.00712
G043987E42549N,RGI60-12.00713
G044044E42767N,RGI60-12.00714
G041508E43273N,RGI60-12.00715
G042694E43122N,RGI60-12.00716
G041861E43214N,RGI60-12.00717
G042069E43106N,RGI60-12.00718
G042018E43214N,RGI60-12.00720
G044418E42720N,RGI60-12.00722
G044372E42683N,RGI60-12.00723
G044129E42712N,RGI60-12.00724
G043434E42956N,RGI60-12.00725
G042033E43201N,RGI60-12.00726
G044177E42747N,RGI60-12.00731
G042474E43205N,RGI60-12.00732
G043245E42947N,RGI60-12.00734
G041913E43303N,RGI60-12.00735
G042714E43249N,RGI60-12.00894
G043424E42962N,RGI60-12.00737
G043648E42830N,RGI60-12.00738
G041541E43266N,RGI60-12.00739
G044490E42688N,RGI60-12.00741
G042867E43215N,RGI60-12.01243
G042723E43140N,RGI60-12.00745
G041798E43168N,RGI60-12.00747
G043380E42886N,RGI60-12.00922
G044521E42725N,RGI60-12.00749
G043240E42919N,RGI60-12.00750
G043406E42875N,RGI60-12.00751
G041464E43320N,RGI60-12.00752
G041249E43405N,RGI60-12.00753
G043938E42552N,RGI60-12.00754
G044157E42743N,RGI60-12.00755
G042643E43317N,RGI60-12.00757
G042639E43306N,RGI60-12.00760
G042439E43247N,RGI60-12.00761
G043214E43043N,RGI60-12.00762
G043719E42767N,RGI60-12.00763
G042084E43317N,RGI60-12.00764
G042163E43174N,RGI60-12.00996
G044255E42603N,RGI60-12.00766
G041198E43376N,RGI60-12.00767
G043202E43023N,RGI60-12.00769
G043218E43105N,RGI60-12.01269
G041709E43225N,RGI60-12.00771
G041161E43392N,RGI60-12.00772
G041730E43253N,RGI60-12.00773
G042862E43247N,RGI60-12.00774
G041735E43248N,RGI60-12.00775
G042877E43141N,RGI60-12.00776
G042510E43112N,RGI60-12.00777
G041715E43256N,RGI60-12.00778
G043294E42908N,RGI60-12.00779
G042851E43263N,RGI60-12.00780
G041939E43193N,RGI60-12.00781
G041260E43426N,RGI60-12.00783
G044281E42599N,RGI60-12.00784
G042869E43200N,RGI60-12.00786
G041606E43210N,RGI60-12.00787
G044313E42596N,RGI60-12.00788
G041346E43349N,RGI60-12.00789
G042208E43222N,RGI60-12.00790
G044433E42747N,RGI60-12.00791
G042574E42920N,RGI60-12.00793
G042926E43039N,RGI60-12.00794
G041821E43303N,RGI60-12.01235
G041846E43315N,RGI60-12.00797
G043629E42803N,RGI60-12.00798
G041938E43234N,RGI60-12.00799
G043420E42926N,RGI60-12.00801
G041958E43247N,RGI60-12.00802
G042670E43402N,RGI60-12.00803
G042584E43170N,RGI60-12.00804
G044381E42692N,RGI60-12.00805
G042714E43241N,RGI60-12.00806
G042477E43128N,RGI60-12.00807
G043605E42846N,RGI60-12.00808
G044343E42710N,RGI60-12.00810
G043638E42825N,RGI60-12.00813
G041419E43336N,RGI60-12.00814
G042249E43211N,RGI60-12.00815
G042722E43143N,RGI60-12.00816
G044491E42682N,RGI60-12.00817
G044183E42759N,RGI60-12.00818
G042922E43288N,RGI60-12.00819
G042059E43260N,RGI60-12.00820
G043805E42774N,RGI60-12.00822
G043997E42532N,RGI60-12.00823
G043411E42989N,RGI60-12.00825
G043222E42924N,RGI60-12.00826
G043133E43077N,RGI60-12.00827
G042380E43180N,RGI60-12.00828
G044397E42748N,RGI60-12.00829
G043833E42788N,RGI60-12.00831
G042941E43273N,RGI60-12.00834
G042368E43250N,RGI60-12.00835
G041928E43334N,RGI60-12.00836
G042936E43168N,RGI60-12.00838
G044517E42715N,RGI60-12.00840
G041519E43299N,RGI60-12.00842
G042097E43312N,RGI60-12.00843
G044074E42739N,RGI60-12.00844
G042480E42939N,RGI60-12.00845
G043386E42982N,RGI60-12.00846
G041932E43191N,RGI60-12.00847
G042753E43235N,RGI60-12.00848
G042734E43194N,RGI60-12.00849
G042556E42933N,RGI60-12.00850
G043194E43088N,RGI60-12.00851
G041187E43387N,RGI60-12.00852
G041772E43227N,RGI60-12.00853
G042075E43199N,RGI60-12.00854
G042522E43121N,RGI60-12.00855
G043154E43018N,RGI60-12.00856
G041507E43393N,RGI60-12.00857
G041727E43235N,RGI60-12.00859
G041777E43233N,RGI60-12.00860
G040992E43435N,RGI60-12.00861
G043381E42907N,RGI60-12.00864
G043370E43008N,RGI60-12.00865
G043092E43054N,RGI60-12.00866
G041607E43219N,RGI60-12.00867
G041888E43280N,RGI60-12.00868
G043110E43056N,RGI60-12.00869
G043843E42803N,RGI60-12.01050
G043766E42597N,RGI60-12.00871
G041647E43243N,RGI60-12.00872
G044389E42686N,RGI60-12.00873
G042025E43161N,RGI60-12.00875
G042427E43211N,RGI60-12.00876
G042480E43210N,RGI60-12.00877
G043016E43117N,RGI60-12.00878
G041831E43306N,RGI60-12.00881
G043403E43008N,RGI60-12.00882
G043276E43053N,RGI60-12.00883
G042343E43228N,RGI60-12.00884
G041145E43407N,RGI60-12.00885
G041800E43201N,RGI60-12.00886
G042378E43336N,RGI60-12.00887
G041650E43226N,RGI60-12.00888
G041252E43395N,RGI60-12.00889
G041663E43262N,RGI60-12.00890
G042919E43294N,RGI60-12.00891
G041111E43403N,RGI60-12.00892
G042096E43125N,RGI60-12.00893
G043134E43139N,RGI60-12.00896
G042592E43161N,RGI60-12.00898
G041797E43189N,RGI60-12.00899
G042220E43270N,RGI60-12.00900
G042447E43251N,RGI60-12.00901
G043129E43074N,RGI60-12.00902
G042887E43175N,RGI60-12.00903
G042457E43250N,RGI60-12.00904
G043867E42805N,RGI60-12.00905
G041172E43415N,RGI60-12.00906
G043076E43140N,RGI60-12.00907
G042718E42897N,RGI60-12.00908
G043399E42984N,RGI60-12.00910
G043845E42727N,RGI60-12.00912
G041548E43251N,RGI60-12.00913
G041190E43282N,RGI60-12.00914
G041874E42984N,RGI60-12.00915
G042103E43277N,RGI60-12.00916
G042471E43245N,RGI60-12.00918
G042603E43148N,RGI60-12.00919
G043422E42976N,RGI60-12.00920
G042611E42911N,RGI60-12.00924
G042128E43164N,RGI60-12.00925
