rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-06.00002,2004-01-01_2005-01-01,1897000.0,-0.7171,3.0048,-1360320.0,5700543.0,-0.001156,0.004846,-0.6095,2.5548,1.0,1.0,0.03,0.03,6
RGI60-06.00002,2004-01-01_2006-01-01,1897000.0,-0.6877,1.543,-1304478.0,2927891.0,-0.001109,0.00249,-0.5845,1.3129,1.0,1.0,1.03,1.03,6
RGI60-06.00002,2004-01-01_2008-01-01,1897000.0,-0.6344,0.8385,-1203548.0,1591941.0,-0.001023,0.001355,-0.5393,0.7149,1.0,1.0,1.44,1.36,6
RGI60-06.00002,2005-01-01_2006-01-01,1897000.0,-0.6582,3.0778,-1248636.0,5839034.0,-0.001061,0.004964,-0.5595,2.6168,1.0,1.0,1.0,1.0,6
RGI60-06.00002,2005-01-01_2010-01-01,1897000.0,-0.5655,0.6285,-1072764.0,1193480.0,-0.000912,0.001016,-0.4807,0.5364,1.0,1.0,1.57,1.5,6
RGI60-06.00002,2006-01-01_2007-01-01,1897000.0,-0.6047,3.332,-1147099.0,6321037.0,-0.000975,0.005373,-0.514,2.8327,1.0,1.0,0.05,0.05,6
RGI60-06.00002,2006-01-01_2008-01-01,1897000.0,-0.5812,1.7099,-1102618.0,3244149.0,-0.000937,0.002758,-0.4941,1.4543,1.0,1.0,0.41,0.34,6
RGI60-06.00002,2007-01-01_2008-01-01,1897000.0,-0.5578,3.5817,-1058136.0,6794787.0,-0.000899,0.005776,-0.4741,3.0449,1.0,1.0,0.36,0.28,6
RGI60-06.00002,2008-01-01_2009-01-01,1897000.0,-0.5144,3.6622,-975814.0,6947374.0,-0.000829,0.005906,-0.4372,3.1132,1.0,1.0,0.16,0.16,6
RGI60-06.00002,2008-01-01_2010-01-01,1897000.0,-0.5034,1.7389,-954975.0,3299127.0,-0.000812,0.002805,-0.4279,1.4787,1.0,1.0,0.16,0.16,6
RGI60-06.00002,2008-01-01_2012-01-01,1897000.0,-0.4909,0.8346,-931199.0,1584026.0,-0.000792,0.001348,-0.4172,0.7107,1.0,1.0,2.79,1.87,6
RGI60-06.00002,2009-01-01_2010-01-01,1897000.0,-0.4924,3.4764,-934135.0,6594988.0,-0.000794,0.005606,-0.4186,2.9553,1.0,1.0,0.0,0.0,6
RGI60-06.00002,2010-01-01_2011-01-01,1897000.0,-0.4674,3.1449,-886732.0,5965995.0,-0.000754,0.005071,-0.3973,2.6734,1.0,1.0,0.71,0.71,6
RGI60-06.00002,2010-01-01_2012-01-01,1897000.0,-0.4783,1.5668,-907423.0,2972616.0,-0.000771,0.002527,-0.4066,1.3324,1.0,1.0,2.63,1.71,6
RGI60-06.00002,2010-01-01_2015-01-01,1897000.0,-0.2529,0.625,-479823.0,1185879.0,-0.000408,0.001008,-0.215,0.5317,1.0,1.0,7.28,4.38,6
RGI60-06.00002,2010-01-01_2020-01-01,1897000.0,-0.0406,0.3274,-77021.0,621122.0,-6.5e-05,0.000528,-0.0345,0.2783,1.0,1.0,16.51,8.31,6
RGI60-06.00002,2011-01-01_2012-01-01,1897000.0,-0.4893,2.99,-928114.0,5672302.0,-0.000789,0.004822,-0.4159,2.5419,1.0,1.0,1.92,1.0,6
RGI60-06.00002,2012-01-01_2013-01-01,1897000.0,-0.2957,2.9692,-560974.0,5632721.0,-0.000477,0.004788,-0.2514,2.524,1.0,1.0,2.57,1.0,6
RGI60-06.00002,2012-01-01_2014-01-01,1897000.0,-0.1515,1.5363,-287352.0,2914355.0,-0.000244,0.002477,-0.1288,1.3059,1.0,1.0,3.57,2.0,6
RGI60-06.00002,2012-01-01_2016-01-01,1897000.0,-0.0613,0.7441,-116258.0,1411546.0,-9.9e-05,0.0012,-0.0521,0.6325,1.0,1.0,5.81,3.59,6
RGI60-06.00002,2013-01-01_2014-01-01,1897000.0,-0.0072,3.0639,-13730.0,5812146.0,-1.2e-05,0.00494,-0.0062,2.6043,1.0,1.0,1.0,1.0,6
RGI60-06.00002,2014-01-01_2015-01-01,1897000.0,-0.005,3.0637,-9564.0,5811906.0,-8e-06,0.00494,-0.0043,2.6042,1.0,1.0,1.08,0.68,6
RGI60-06.00002,2014-01-01_2016-01-01,1897000.0,0.0289,1.5354,54837.0,2912610.0,4.7e-05,0.002476,0.0246,1.3051,1.0,1.0,2.24,1.59,6
RGI60-06.00002,2015-01-01_2016-01-01,1897000.0,0.0629,2.9672,119237.0,5628866.0,0.000101,0.004785,0.0534,2.5222,1.0,1.0,1.16,0.91,6
